id,name,email,signup_date
0,Erin Patel,erin.patel0@mail.com,2026-03-13
1,Grace Smith,grace.smith1example.com,2026-02-16
2,Dave Smith,dave.smith2@mail.com,2026-09-23
3,Dave Davis,dave.davis3@test.org,2026-01-15
4,Grace Brown,grace.brown4@test.org,2026-03-16
5,Frank Jones,frank.jones5@example.com,2026-07-13
6,Frank Brown,frank.brown6@test.org,2026-01-24
7,Grace Jones,grace.jones7test.org,2026-06-28
8,Dave Jones,dave.jones8@example.com,2026-04-19
9,Bob Patel,bob.patel9@example.com,2026-07-18
10,Heidi Brown,heidi.brown10@mail.com,2026-06-21
11,Dave Garcia,dave.garcia11@example.com,2026-03-27
12,Dave Lee,dave.lee12@signup.net,2026-07-18
13,Dave Brown,dave.brown13@example.com,2026-04-11
14,Frank Wilson,frank.wilson14@test.org,2026-02-16
15,Frank Patel,frank.patel15@signup.net,2026-07-24
16,Carol Garcia,carol.garcia16@mail.com,2026-04-27
17,Erin Wilson,erin.wilson17@signup.net,2026-06-17
18,Carol Davis,carol.davis18@example.com,2026-01-13
19,Carol Lee,carol.lee19@signup.net,2026-02-22
20,Grace Davis,grace.davis20@test.org,2026-09-10
21,Bob Garcia,bob.garcia21@test.org,2026-02-19
22,Grace Lee,grace.lee22@signup.net,2026-01-18
23,Carol Jones,carol.jones23@test.org,2026-09-16
24,Carol Brown,carol.brown24@mail.com,2026-09-26
25,Alice Brown,alice.brown25@signup.net,2026-01-13
26,Frank Garcia,frank.garcia26@mail.com,2026-01-17
27,Bob Jones,bob.jones27@signup.net,2026-02-27
28,Carol Lee,carol.lee28@signup.net,2026-09-15
29,Erin Wilson,erin.wilson29@mail.com,2026-09-16
30,Erin Wilson,erin.wilson30@test.org,2026-08-26
31,Heidi Jones,heidi.jones31@mail.com,2026-04-12
32,Frank Smith,frank.smith32@mail.com,2026-04-10
33,Bob Smith,bob.smith33@mail.com,2026-02-11
34,Frank Jones,frank.jones34@mail.com,2026-05-25
35,Dave Lee,dave.lee35@signup.net,2026-04-25
36,Grace Patel,grace.patel36@example.com,2026-02-23
37,Frank Wilson,frank.wilson37@signup.net,2026-08-11
38,Bob Smith,bob.smith38@signup.net,2026-06-13
39,Dave Patel,dave.patel39@mail.com,2026-09-24
40,Grace Lee,grace.lee40test.org,2026-08-17
41,Bob Davis,bob.davis41@example.com,2026-01-27
42,Alice Jones,alice.jones42@mail.com,2026-03-23
43,Heidi Davis,heidi.davis43@mail.com,2026-07-11
44,Carol Wilson,carol.wilson44@example.com,2026-07-18
45,Heidi Garcia,heidi.garcia45@signup.net,2026-09-25
46,Carol Patel,carol.patel46@test.org,2026-04-11
47,Alice Brown,alice.brown47@example.com,2026-01-28
48,Heidi Lee,heidi.lee48@example.com,2026-09-12
49,Carol Jones,carol.jones49@example.com,2026-04-22
